CellIdx,Sentence
700,"{phillip, managing the transport on the west desk.,  i am out ot the office on friday, but keith holst will attend.  he has been , colleen,}"
701,"{phillip,  please gather receipts so we can discuss.,  when you open the file, go to the ""checkbook"" tab and look at the yellow , the checks since jan. 1.,  moving on to the checkbook, i have attached a spreadsheet that organizes all , operations.,   4.  no more expenditures on office or landscape than is necessary for basic , highlighted items.  i have questions about these items.,   2.  daily timesheets for you and wade faxed to me daily,   1.  no overtime without my written (or email) instructions.,  first, i want to implement the following changes:, need to focus on expenses and recordkeeping.,  now that #44 is rented and you have settled in for a couple of months, we , lucy,,   3.  paychecks will be issued each friday by me at the state bank}"
702,"{cc:  , this request has been pending your approval for 8 days. please click , http://itcapps.corp.enron.com/srrs/approve/detail.asp?id=000000000000935&email, =jeffrey.a.shankman@enron.com to approve the request or contact irm at , 713-853-5536 if you have any issues., resource name       : eol us natgas us gas phy fwd firm non-texas < or = 1 , request create date : 7/27/00 2:15:23 pm, month, resource type       : applications, arsystem@ect.enron.com on 08/07/2000 07:03:23 pm, request id          : 000000000000935, 07:48 am ---------------------------, requested for       : paul.t.lucci@enron.com, please have phillip or john l approve.  thanks.  jeff, ---------------------- forwarded by jeffrey a shankman/hou/ect on 08/08/2000 , ina,,  how many times do you think jeff wants to get this message.  please help, ---------------------- forwarded by phillip k allen/hou/ect on 08/08/2000 , 04:30 pm ---------------------------, phillip, 	, 	, 	from:  jeffrey a shankman                           08/08/2000 05:59 am, 	, cc: paul t lucci/den/ect@enron ,    }"
703,"{resource type       : applications, the requester specified you as their manager. please click , resource name       : market data telerate basic energy, requested for       : frank.ermis@enron.com, request create date : 8/8/00 9:15:59 am, request id          : 000000000001282, =phillip.k.allen@enron.com to approve th, please review and act upon this request. you have received this email because , http://itcapps.corp.enron.com/srrs/approve/detail.asp?id=000000000001282&email, arsystem@ect.enron.com on 08/08/2000 07:17:38 am, 04:28 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 08/08/2000 , phillip, care of this.,  i keep getting these security requests that i cannot approve.  please take , ina,, cc:  }"
704,{what are your skills?  why do you want to be on a trading desk?}
705,"{cc:  , 	, 	from:  jay reitmeyer                           08/07/2000 10:39 am, 	, 	, 12:42 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 08/07/2000 ,    }"
706,"{lucy,,  i didn't get a fax with the july bank statement on friday.  can you refax it , to 713 646 2391, phillip}"
707,"{attached is the link to the site that we reviewed in today's meeting.  the , http://gasfundy.dev.corp.enron.com/, site is a work in progress, so please forward your comments.  , chris, cc: hunter s shively/hou/ect@ect , 07:05 am ---------------------------, 08/04/2000 03:13 pm, 	jane.tholt@enron.com, steven.south@enron.com, neal/hou/ect@ect, thomas a martin/hou/ect@ect, chris gaskill@enron, ---------------------- forwarded by phillip k allen/hou/ect on 08/07/2000 }"
708,"{hunter,, are you watching alberto?  do you have yahoo messenger or hear me turned on?, phillip}"
709,"{can you build something to look at historical prices from where we saved , curves each night., here is an example that pulls socal only., improvements could include a drop down menu to choose any curve and a choice , of index,gd, or our curves.}"
710,"{free credit report securely over the internet.  check it out today at:, theft and more. you'll also be able to fill out an application and receive a, trends in the credit industry, new legislation, facts and tips on identity, and an ask the expert forum, the credit center helps you stay up-to-date on, information. with more than 100 original articles, monthly email newsletters, center is a one-stop source for consumers to access a wealth of credit, - step inside the car, navigating 360o by 360o -- zoom in and out., autoweb.com is happy to announce the launch of its new credit center,, new credit center provides access to free online credit reports, <a href= ""http://www.autoweb.com/nl12.htm?l=4"" >interior 360o</a>, <a href= ""http://www.autoweb.com/nl12.htm?l=5"" >new credit center</a>, - use your mouse or keyboard to rotate the image up, down, left and right., designed to provide you with extensive information about credit. the credit, credit center</a>, factory rebates are at a season-long high with over 400 makes & models!, sponsor:  warrantydirect.com, blurb:  ext. warranties-$50 off to autoweb visitors til 1/15-free roadside, assistance-20 yr old public co.-buy direct & save, <a href="" http://www.autoweb.com/nl12.htm?l=6"" >click here</a>, ******************************************************, - immerse yourself in a realistic, 3-dimensional image., <a href= ""http://www.autoweb.com/nl12.htm?l=7"" >find a car</a>, ---, you are currently subscribed to autoweb.com news as: john.parker@autoweb.com, if you wish to be removed from the autoweb.com news mailing list send a, blank email to: leave-news-932653v@lists.autoweb.com, ---, you are currently subscribed to autoweb.com news as: pallen@enron.com, email to: leave-news-932653v@lists.autoweb.com, ***advertisement***, - this patented java technology requires no download or installation., if you wish to be removed from the autoweb.com news mailing list send a blank , one of the 126 top selling vehicles on the market using this revolutionary, product:, as requested, here is the december autoweb.com newsletter., new vehicle quote, start the new year off with the car of your dreams.  get a quote on the new, 2001 models., more than a vehicle-buying site, autoweb.com can help you with every aspect of buying, selling and owning a, vehicle.  you may have already used our extensive research tools and our, free service to purchase your vehicle.  but at autoweb.com, you can also, place a classified ad and get great advice on prepping your car for sale., check out the maintain section for great repair and maintenance information., get free online quotes for insurance and loans, or find all you ever wanted, to know about financing, insurance, credit and warranties.  car buffs can, read the latest automotive news, see some awesome car collectibles and read, <a href= ""http://www.autoweb.com/nl12.htm?l=1"" >new car quote</a>, so stop by autoweb.com for all your automotive needs.   and check out our, both professional and consumer reviews.., interior 360o lets you view a vehicle interior from any angle. check out any, view 2001 models with interior 360o, <a href= ""http://www.autoweb.com/nl12.htm?l=3"" >audio center</a>, assemble the perfect audio system., a wealth of installation and setup tools are also available. a wide variety, of electrical and installation accessories are available to help you, expertise. our partners offer in-dash receivers, amplifiers, signal, cd changer, autoweb.com's audio center provides top-notch selection and, whether you're building a completely new audio system or just want to add a, our audio center is live!, <a href= ""http://www.autoweb.com/nl12.htm?l=2"" >autoweb.com home</a>, new, easier-to-navigate homepage., processors, speakers, subwoofers, box enclosures and multimedia options.}"
711,"{ - spotwed597.doc,    ---- file information -----------,      type:  ms-word,      size:  25600 bytes.,      date:  13 dec 2000, 12:37,      file:  spotwed597.doc, if you cannot, please ask your system administrator for assistance., i'm sending this early because  we expect everything to change, if you are using pegasus mail, or any another mime-compliant system,, prepared for transmission using the internet mime message format., the following section of this message contains a file attachment, any minute., bcc: alb@cpuc.ca.gov, cc: alb@cpuc.ca.gov, you should be able to save it or view it from within your mailer.}"
712,"{phillip, john,, the only long term deal in the west that you could put prudency against is , the pgt transport until 2023}"
713,"{ i will call you this afternoon to discuss the things in your email., phillip, lucy,}"
714,"{jeff,,  i want to bid $2.8 for sagewood with a rate 8.5% or less and dependent on  , 30 year term}"
715,"{	scott.neal@enron.com, thomas.martin@enron.com, john.arnold@enron.com, attached is the systems wish list for the gas basis and physical trading}"
716,"{cc: phillip k allen/hou/ect@ect , alonso/pdx/ect@ect, mark fischer/pdx/ect@ect, tim heizenrader/pdx/ect@ect, sean crandall/pdx/ect@ect, diana scholtes/hou/ect@ect, tom , swerzbin/hou/ect@ect, matt motley/pdx/ect@ect, robert badeer/hou/ect@ect, , slaughter/enron_development@enron_development, tim belden/hou/ect@ect, mike , gilbert/pdx/ect@ect, terry w donovan/hou/ect@ect, jeff g , vickers/hou/ect@ect, elliot mainzer/pdx/ect@ect, michael mcdonald/sf/ect@ect, , david parquet/sf/ect@ect, laird dyer/sf/ect@ect, jim buerkle/pdx/ect@ect, jim , 	, 	enron north america corp.,    , 10:49 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 07/26/2000 , 	frank.ermis@enron.com, jay.reitmeyer@enron.com, 	, 	from:  kristian j lande                           07/25/2000 02:24 pm}"
717,{please add mike grigsby to distribution}
718,"{malin or rockies, it would probably make sense to show the basis as an , since i assume you do not keep a stanfield basis, but rather a basis off , 07/26/2000 08:32 am, be on these terms., thanks, mike, sept-00 - may 31, 2008, adjustment to one of these point.  also, what should the mid - offer spread , sept -00 - may 31, 2006, 10:44 am ---------------------------, have requested term pricing for stanfield on a volume of 17,000.  could you , i am sending off a follow-up to a bid i submitted to clark county pud.  they , cc:  , michael etringer, ---------------------- forwarded by phillip k allen/hou/ect on 07/26/2000 , give me a basis for the period :}"
719,"{phillip, income., you want to list me as an employer for credit purposes, i will vouch for your , if the staff doesn't live up to it.  if you decide to buy a small truck and , situation.  you need to take care of it this week.  lucy can't hold the ,  i understood your number one priority was to deal with your vehicle , wade,, tenants to a standard (vehicles must be in running order with valid stickers) }"
720,"{the merlin ct. address is still good.  i don't know why the mailing would be , returned.  }"
721,{here is the 1st draft of a wish list for systems.}
722,"{attached  are two files that illustrate the following:, beginning to fall in response these market responses. , as prices rose, supply increased and demand decreased.  now prices are , 	rebecca.cantrell@enron.com, 	steven.kean@enron.com, susan.mara@enron.com, , 	pkaufma@enron.com, richard.sanders@enron.com, , 	joe.hartsoe@enron.com, mary.hain@enron.com, pallen@enron.com, , 	richard.shapiro@enron.com, stephanie.miller@enron.com, }"
723,"{---------------------- forwarded by phillip k allen/hou/ect on 07/19/2000 , 10:39 am ---------------------------, skipping stone <ss4@skpstnhouston.com> on 07/18/2000 06:06:28 pm, cc:  , skipping stone animation, have you seen us lately? , come see what's new, www.skippingstone.com, energy experts consulting to the energy industry, ! }"
724,{11:15 today still works.}
725,"{interventions., gas.)  for all other pipelines on the priority list, we filed plain , 637 compliance filings of the indicated pipelines.  (columbia is columbia , attached are initial comments of ena which will be filed monday in the order , fyi, 	, cc:  , payne/hou/ect@ect, victor lamadrid/hou/ect@ect, barbara g dillard/hou/ect@ect, gary l , campos/hou/ect@ect, paul tate/hou/ees@ees, phillip k allen/hou/ect@ect, , janet edwards/corp/enron@enron, ruth concannon/hou/ect@ect, sylvia a , fletcher/hou/ect@ect, jeff coates/hou/ees@ees, john hodge/corp/enron@enron, , scott neal/hou/ect@ect, tori kuykendall/hou/ect@ect, brenda h , paul t lucci/den/ect@enron, jane m tholt/hou/ect@ect, steven p , colleen sullivan/hou/ect@ect, hunter s shively/hou/ect@ect, ray , fyi  cig, ---------------------- forwarded by phillip k allen/hou/ect on 07/17/2000 , 10:45 am ---------------------------, hamman/hou/ees@ees, robert superty/hou/ect@ect, edward terry/hou/ect@ect, , 	enron north america corp., 	,    , 	, meyer/hou/ect@ect, judy townsend/hou/ect@ect, theresa branney/hou/ect@ect, , south/hou/ect@ect, frank ermis/hou/ect@ect, susan w pereira/hou/ect@ect, , george smith/hou/ect@ect, randall l gay/hou/ect@ect, jim homco/hou/ect@ect, , 	from:  rebecca w cantrell                           07/14/2000 02:31 pm}"
726,"{avg physical ng product., phillip allen, thanks,, if you have any questions, please call me on 3-7041, manage this on eol., tori kuykendahl and jane tholt should both have administrative access to , please extend all internal gas traders view access to the new el paso blanco , cc:  , 	, 	from:  kenneth shulklapper                           07/14/2000 06:58 am, 	, 	enron north america corp.,    , 02:00 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 07/14/2000 }"
727,"{keith, real thing.,  i will be down that weekend, but i am not sure about the rest of the family., kay,, all is well here.  i will try to bring some pictures if i can't bring the }"
728,"{their offers at the back-end of their curves., andy, may 2010 on elvis, and 3000 mmbtu/d on cactus fromjune 2004 to april 2022. , roughly speaking, we are looking at a nominal 3750 mmbtu/d for 14 years from , let's try and set up a conference call with phillip and john to talk about , mike--, allen/hou/ect@ect, john arnold/hou/ect@ect , cc: frank w vickers/hou/ect@ect, saji john/hou/ect@ect, phillip k , 10:24 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 07/13/2000 , here are the net open socal border positions we have for elvis and cactus.  }"
729,"{dolores, ---------------------- forwarded by jana giovannini/hou/ect on 07/11/2000 , 04:50 pm ---------------------------,    , 	, 	, 	from:  dolores muzzy                           07/11/2000 04:17 pm, 	, cc:  , i believe phillip allen is from ena., ---------------------- forwarded by dolores muzzy/hou/ect on 07/11/2000 04:17 , x37041,    , 	, 	, 	from:  phillip k allen                           07/11/2000 12:54 pm, 	, cc:  , celeste,,  i need two assoc./analyst for the west gas trading desk.  can you help?,  i also left you a voice mail., phillip, you have any questions, please let me know.  thanks., pm ---------------------------, a month,) i will be happy to pull a couple of resumes for your review.  if , 	from:  jana giovannini                           07/11/2000 02:58 pm, interested.  please let me know.  , ---------------------- forwarded by phillip k allen/hou/ect on 07/12/2000 , 02:18 pm ---------------------------,    , 	, 	, 	, cc: celeste roberts/hou/ect@ect , sorry, i didn't attach the form.  there is one for associates and one for , analyst., 04:57 pm ---------------------------,    , ---------------------- forwarded by jana giovannini/hou/ect on 07/11/2000 , 	, 	from:  jana giovannini                           07/11/2000 04:57 pm, 	, cc: celeste roberts/hou/ect@ect , hey phillip,, i received your note from celeste.  i am the ena staffing coordinator and , need for you to fill out the attached needs assessment form before i can send , you any resumes.  also, would you be interested in the new class?  analysts , start with the business units on aug. 3rd and assoc. start on aug. 28th.  we , are starting to place the associates and would like to see if you are , 	, once i receive the needs assessment back (and you let me know if you can wait }"
730,"{	, cc:  , 	, 	from:  robert badeer                           07/11/2000 02:44 pm, 	, 04:59 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 07/11/2000 ,    }"
731,"{kim hillis, thanks, please call me at x30681 if you have any questions.  , july 18, from 2:00 - 3:00 p.m. in eb3321., please note that john lavorato has scheduled a systems meeting on tuesday, , irena d hogan/hou/ect@ect, ina rangel/hou/ect@ect , westbrook/hou/ect@ect, patti thompson/hou/ect@ect, felicia doan/hou/ect@ect, , jackson/hou/ect@ect, beth perlman/hou/ect@ect, sally beck/hou/ect@ect, cc: barbara lewis/hou/ect@ect, airam arteaga/hou/ect@ect, cherylene r , allen/hou/ect@ect, kevin m presto/hou/ect@ect, thresa a allen/hou/ect@ect, , 	, 	from:  kimberly hillis                           07/11/2000 01:16 pm, 	, 	enron north america corp.,    , 04:23 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 07/11/2000 , kristin albrecht/hou/ect@ect, brent a price/hou/ect@ect, steve }"
732,"{celeste,,  i need two assoc./analyst for the west gas trading desk.  can you help?,  i also left you a voice mail., phillip, x37041}"
733,{how about tuesday at 11:15 in front of the building?}
734,{please add mike grigsby to distribution list.}
735,{testing}
736,"{---------------------- forwarded by phillip k allen/hou/ect on 07/11/2000 , k, call kim hillis at x30681 if you have any questions., be a follow up meeting.   the meeting will be held in eb3321.  , please reference the meeting as systems meeting and also note that there will , cc:  , price/hou/ect@ect, kristin albrecht/hou/ect@ect, thresa a allen/hou/ect@ect, brent a , this is to confirm a meeting for tomorrow, tuesday, july 11 at 2:00 pm.  , sent by: kimberly hillis, 	, 	from:  john j lavorato                           07/10/2000 04:03 pm, 	, 	enron north america corp.,    , 06:12 am ---------------------------, allen/hou/ect@ect, steve jackson/hou/ect@ect, kevin m presto/hou/ect@ect, }"
737,"{06/26/2000 10:44 am, jason moore, any questions, please feel free to call me at x33198., although we may not be doing any business with them currently.  if you have , in the global counterparty database.  these are all active counterparties, , attached please find a spreadsheet containing a list of natural gas customers , cc: joel henenberg/na/enron@enron, mary g gosnell/hou/ect@ect , jason moore, 07/10/2000 01:19 pm, ---------------------- forwarded by scott neal/hou/ect on 07/10/2000 03:18 pm , cc:  , villarreal/hou/ect@ect, thomas a martin/hou/ect@ect, scott neal, 04:40 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 07/10/2000 , ---------------------------}"
738,"{ina,,  please sign me up for this course whenever hunter is signed up. thanks}"
739,"{al,, i am not in good enough shape to ride a century right now.  plus i'm nursing , some injuries.  i can do lunch this week or next, let's pick a day., phillip}"
740,"{email me back to confirm receipt., phillip, you can use the additional principal reduction to record prepayments.  please ,  the word document attached is a notice/consent form for the sale.  the excel , brenda,, file is an amortization table for the note.}"
741,"{jeff,,  i have spoken to brenda and everything looks good.  matt lutz was supposed , to email me some language but i did not receive it.  i don't have his # so , can you follow up.  when is the estimated closing date.  let me know what , else i need to be doing., phillip}"
742,"{gary,,  thanks for the info.}"
743,"{please click the following to go to the web site for detail.,  phone list, dec 13 2000  2:12pm, dec 13 2000  2:12pm, until further notice, , 2238, tw-on call listing 12/16 - 12/17, transwestern pipeline co. posted new notice(s) since our last check at , 	jane.m.tholt@enron.com, mike.grigsby@enron.com, http://ios.ets.enron.com/infopostings/shared/et_noncritical_notice.asp?company, 12/13/2000 2:00:01 pm, the newest notice looks like:, =60}"
744,{anytime after 3 p.m.}
745,"{tim,,  matt sent you a email with his attempt to organize some of the cems and wscc , data.  tim h. expressed concern over the reliability of the wscc data.  i , don't know if we should scrap the wscc or just keep monitoring in case it , improves.  let me know what you think., phillip}"
746,"{sullivan/hou/ect@ect, mike swerzbin/hou/ect@ect, john thompson/lon/ect@ect, , carl tricoli/corp/enron@enron, greg wolfe/hou/ect@ect, cc: billy lemmons/corp/enron@enron, mark frevert/na/enron@enron , folks, you are the remaining officers of ena that have not yet enrolled in , this mandated training program.  it is ena's goal to have all its officers , hunter s shively/hou/ect@ect, bruce sukaly/corp/enron@enron, colleen , received very high marks for effectiveness.  please take time now to enroll , in the program. speak to your hr representative if you need help getting , signed up., regards, delainey, through the program before the end of calendar year 2000.  the course has , presto/hou/ect@ect, mike a roberts/hou/ect@ect, jim schwieger/hou/ect@ect, , josey/corp/enron@enron, fred lagrasta/hou/ect@ect, john j , muhl/corp/enron@enron, scott neal/hou/ect@ect, jesse neyman/hou/ect@ect, , lavorato/corp/enron@enron, thomas a martin/hou/ect@ect, gil , edward ondarza/hou/ect@ect, ozzie pagan/hou/ect@ect, kevin m , julie a gomez/hou/ect@ect, mike jakubik/hou/ect@ect, scott , deffner/hou/ect@ect, janet r dietrich/hou/ect@ect, craig a fox/hou/ect@ect, , bryan burnett/hou/ect@ect, george carrick/hou/ect@ect, joseph , baughman/hou/ect@ect, tim belden/hou/ect@ect, greg blair/corp/enron@enron, , 06/29/2000 10:48 am, david w delainey, 03:44 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 07/06/2000 , what are my choices for dates?}"
747,"{phillip, have a good weekend and i will talk to you next week., mention this when i was there, the 4th is a paid holiday for you and wade.  , weekend and ask my dad about the a/c's.  i am glad you are enjoying, i got your email.  i didn't have time to finish it.  i will read it this , lucy,, the job.  this weekend i will mark up the lease and rules.  if i didn't }"
748,"{paez/hou/ect@ect, cristina zavala/sf/ect@ect, felicia doan/hou/ect@ect, denys , gutierrez/hou/ect@ect, jenny helton/hou/ect@ect, christine , joya davis/hou/ect@ect, erica braden/hou/ect@ect, anabel , forsyth/hou/ect@ect, rhonna palmer/hou/ect@ect, irena d hogan/hou/ect@ect, , thompson/hou/ect@ect, leticia leal/hou/ect@ect, darlene c , gustafson/pdx/ect@ect, pilar cerezo/na/enron@enron, patti , drummond/hou/ect@ect, kevin g moore/hou/ect@ect, dina snow/corp/enron@enron, , airam arteaga/hou/ect@ect, tina tennant/hou/ect@ect, mollie , davis/na/enron@enron, gerry taylor/corp/enron@enron, lorie leigh/hou/ect@ect, , watson/corp/enron@enron, angie collins/hou/ect@ect, tammie , zarsky/hou/ect@ect, angela mcculloch/cal/ect@ect, dusty warren , harvey/hou/ect@ect, terrellyn parker/hou/ect@ect, maria elena , mitchell/corp/enron@enron, ana alcantara/hou/ect@ect, deana , e levingston/corp/enron@enron, lynn pikofsky/corp/enron@enron, luann , lehr/corp/enron@enron, iris wong/cal/ect@ect, rebecca.young@enron.com, maxine , susan fallon/corp/enron@enron, tina rode/hou/ect@ect, tonai , coneway/hou/ect@ect, nicole mayer/hou/ect@ect, sherri carpenter/hou/ect@ect, , jessica a wentworth/den/ect@enron, catherine dumont/pdx/ect@ect, betty j , mendoza/na/enron@enron, ina rangel/hou/ect@ect, debra davidson/pdx/ect@ect, , lillian carroll/hou/ect@ect, taffy milligan/hou/ect@ect, laura , george/corp/enron@enron, kimberly brown/hou/ect@ect, claudette , janette elbertson/hou/ect@ect, shirley crenshaw/hou/ect@ect, carolyn , baker/hou/ect@ect, katherine benedict/hou/ect@ect, barbara lewis/hou/ect@ect, , ely/hou/ect@ect, kimberly hillis/hou/ect@ect, yolanda ford/hou/ect@ect, donna , fortine/corp/enron@enron, deborah j edison/hou/ect@ect, lisa , harder/corp/enron@enron, nancy hall/hou/ect@ect, tina rode/hou/ect@ect, , with enron's rapid growth we need to maintain an ability to move employees , baker/hou/ect@ect, melissa jones/na/enron@enron, beth a ryan/hou/ect@ect, , tijerina/corp/enron@enron, christy chapman/hou/ect@ect, stella l , dave, thanks,, your  timely response to this request is greatly appreciated.   , contact kathy schultea at x33841.  , for input, or if you need any assistance with the hrgis application please , like to have a hard copy of a template that could be filled out and returned , the target date by which to update these profiles is 7 july.  if you would , on the command line of your browser., hrweb.enron.com and look for the hrgis link.  or just type eglobal.enron.com , accessible via the hrweb home page on the intranet.  just go to , need to be completed  via the hr global information system.  hrgis is , profiles. current responsibilities, employment history, skills and education , requests that all enron vice presidents and managing directors update their , year-end global vp/md performance review process, the  enron vp/md prc , data.  in the spirit of one enron, and building on the success of the , have one process that will enable us to collect , update and retain employee , between operating companies and new ventures.  to do this it is essential to , call ted bland @ 3-5275., ago and if you have any questions regarding this request, please feel free to , as soon as possible. please read the following memo sent to you a few days , information, please do so.  it is essential that this function be performed , this is a reminder !!!  if you haven't taken the time to update your gis , cooper/hou/ect@ect, kay chapman/hou/ect@ect , shirley crenshaw/hou/ect@ect, tamara jae black/hou/ect@ect, amy , crystal blair/hou/ect@ect, angie collins/hou/ect@ect, donna , delainey/hou/ect@ect, marsha schiller/hou/ect@ect, shirley , gray/hou/ect@ect, robert greer/hou/ect@ect, jeffrey t hodge/hou/ect@ect, , thomas a martin/hou/ect@ect, steven schneider/enron@gateway, crane/hou/ect@ect, joseph deffner/hou/ect@ect, kent densley/corp/enron@enron, , carrick/hou/ect@ect, douglas clifford/corp/enron@enron, bob , calger/pdx/ect@ect, cary m carrabine/corp/enron@enron, george , bradley/hou/ect@ect, craig breslau/hou/ect@ect, christopher f , cc: cindy skinner/hou/ect@ect, ted c bland/hou/ect@ect, david w , brian bierbach/den/ect@enron, donald m- ect origination black/hou/ect@ect, , arnold/hou/ect@ect, tim belden/hou/ect@ect, michael j beyer/hou/ect@ect, , brad alford/ecp/hou/ect@ect, phillip k allen/hou/ect@ect, john , ader/hou/ect@ect, james a ajello/hou/ect@ect, jaime alatorre/na/enron@enron, , greg hermans/corp/enron@enron, paul adair/corp/enron@enron, jeffery , haedicke/hou/ect@ect, vince j kaminski/hou/ect@ect, julia murray/hou/ect@ect, , timothy j detmering/hou/ect@ect, w david duran/hou/ect@ect, ranabir , shankman/hou/ect@ect, colleen sullivan/hou/ect@ect, mark e , john j lavorato/corp/enron@enron, george mcclellan/hou/ect@ect, jere c , dietrich/hou/ect@ect, jeff donahue/hou/ect@ect, gary hickerson/hou/ect@ect, , sent by: kay chapman, 	, 	from:  david w delainey                           06/30/2000 07:42 am, 	, 	enron north america corp.,    , 12:53 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 06/30/2000 , what is gis info?  can you do this?, overdyke/hou/ect@ect, brian redmond/hou/ect@ect, jeffrey a , dutt/corp/enron@enron, craig a fox/hou/ect@ect, julie a gomez/hou/ect@ect, , greg blair/corp/enron@enron, brad blesie/corp/enron@enron, michael w , josey/corp/enron@enron, jeff kinneman/hou/ect@ect, kyle kitagawa/cal/ect@ect, , sheila tweed/hou/ect@ect, greg wolfe/hou/ect@ect, mark dobler/na/enron@enron, , shanbhogue/hou/ect@ect, gregory l sharp/hou/ect@ect, mark taylor/hou/ect@ect, , william rome/hou/ect@ect, lance schuler-legal/hou/ect@ect, vasant , neyman/hou/ect@ect, ozzie pagan/hou/ect@ect, mike a roberts/hou/ect@ect, , andrew kelemen/hou/ect@ect, grant masson/hou/ect@ect, jesse , david howe/corp/enron@enron, mike jakubik/hou/ect@ect, scott , douglas b dunn/hou/ect@ect, stinson gibner/hou/ect@ect, barbara n , baughman/hou/ect@ect, bryan burnett/hou/ect@ect, james i ducote/hou/ect@ect, , mintz/hou/ect@ect, david oxley/hou/ect@ect, brent a price/hou/ect@ect, mike , hedstrom/cal/ect@ect, sheila knudsen/corp/enron@enron, jordan , beck/hou/ect@ect, nick cocavessis/corp/enron@enron, peggy , tricoli/corp/enron@enron, max yzaguirre/na/enron@enron, sally , swerzbin/hou/ect@ect, alan aronowitz/hou/ect@ect, edward d , thomas m suffield/corp/enron@enron, bruce sukaly/corp/enron@enron, jake , fred lagrasta/hou/ect@ect, billy lemmons/corp/enron@enron, laura , thomas/hou/ect@ect, c john thompson/corp/enron@enron, carl , maffett/hou/ect@ect, rodney malcolm/hou/ect@ect, michael mcdonald/sf/ect@ect, , jesus melendrez/corp/enron@enron, mmiller3@enron.com, rob , milnthorp/cal/ect@ect, gil muhl/corp/enron@enron, scott neal/hou/ect@ect, , luce/corp/enron@enron, richard lydecker/corp/enron@enron, randal , parquet/sf/ect@ect, kevin m presto/hou/ect@ect, steve , pruett/corp/enron@enron, daniel reck/hou/ect@ect, andrea v reed/hou/ect@ect, , jim schwieger/hou/ect@ect, cliff shedd/na/enron@enron, hunter s , shively/hou/ect@ect, stuart staley/lon/ect@ect, fletcher j sturm/hou/ect@ect, , edward ondarza/hou/ect@ect, michelle parks/corp/enron@enron, david }"
749,"{---------------------- forwarded by phillip k allen/hou/ect on 06/27/2000 , 04:39 pm ---------------------------, tim heizenrader, 06/27/2000 11:35 am, cc: tim belden/hou/ect@ect , charts for today's meeting are attached: }"
750,"{i am going to distribute an article by caminus, an software vendor., this will help us to gain experience with the market vs the, model., the article illustrates the optionality associated with storage operation, zimin, implementation may be, different.  , let me know if you have any questions., very well.  the enron research storage model  is a lot like that, although , variable. , you mentioned that you have resources to run the model. please do so., we are currently back-testing the storage model. , mark,, scott neal/hou/ect@ect , allen/hou/ect@ect, thomas a martin/hou/ect@ect, jim schwieger/hou/ect@ect, , sullivan/hou/ect@ect, hunter s shively/hou/ect@ect, phillip k , cc: stinson gibner/hou/ect@ect, vince j kaminski/hou/ect@ect, colleen , 06/14/2000 07:09 am, zimin lu, 12:32 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 06/27/2000 , the enclosed version contains deltas and decision }"
751,{is your voice healed or are you going to use a real time messenger?}
752,{no}
753,"{#27279,  , right... click here: , sure you want to unsubscribe and stop receiving e-mail from us? all , ~~~~~~~~~~~~~~~~~~~~~~~~ , unsubscribe instructions , ~~~~~~~~~~~~~~~~~~~~~~~~ , the shockwave.com team , the site! , download frogger by noon, pst on june 30th, while it's still on , full-screen, whenever you want. , and save all of your downloadable favorites to play off-line, , don't know about shockmachine? you can download shockmachine for free , http://shockwave1.m0.net/m/u/shk/s.asp?e=pallen%40enron.com, good news is that you can download it to your shockmachine and , own it forever! , ---------------------- forwarded by phillip k allen/hou/ect on 06/26/2000 , 01:57 pm ---------------------------, 10:49:22 pm, please respond to shockwave.com@shockwave.m0.net, ""the shockwave.com team"" <shockwave.com@shockwave.m0.net> on 06/23/2000 , dear phillip,, frogger is leaving shockwave.com soon..., save it to your shockmachine now! , every frog has his day - games, too. frogger had a great run as an , arcade classic, but it is leaving the shockwave.com pond soon. the , cc:  }"
754,"{ken lay and jeff skilling were interviewed on cnnfn to discuss the succession , of jeff to ceo of enron.  we have put the interview on iptv for your viewing , pleasure.  simply point your web browser to http://iptv.enron.com, click the , link for special events, and then choose ""enron's succession plan.""  the , interview will be available every 15 minutes through friday, dec. 15.}"
755,"{per this request, we are asking that all financial deals on eol be bridged , over to the ft-denver book instead of the physical ena im-denver book., eb3299d, mick walters, 3-4783, department.  it must be sent by you.  , thanks in advance., please forward this note to torrey moorer or tara sweitzer in the eol , 	from:  michael walters                           06/21/2000 04:17 pm, cc: tara sweitzer/hou/ect@ect , 	, 	, 	enron north america corp.,    , 11:45 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 06/23/2000 , phil or paul:}"
